lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
thé,NOM,m,s,67.84,44.19,112.03
journal,NOM,m,p,38.3,73.38,111.68
preuve,NOM,f,s,60.79,50.54,111.33
adresse,NOM,f,s,67.28,43.92,111.2
crime,NOM,m,s,81.77,29.32,111.09
chemise,NOM,f,s,36.48,74.59,111.07
sable,NOM,m,s,23.14,87.91,111.05
secours,NOM,m,,70.36,40.47,110.83
cri,NOM,m,p,26.79,83.85,110.64
nom,NOM,m,p,42.5,68.11,110.61
jeunesse,NOM,f,s,27.21,83.24,110.45
prince,NOM,m,s,44.83,65.61,110.44
héros,NOM,m,,66.17,43.65,109.82
combat,NOM,m,s,57.31,52.36,109.67
position,NOM,f,s,55.24,53.85,109.09
chaussure,NOM,f,p,61.09,47.7,108.79
étage,NOM,m,s,39.47,69.19,108.66
sortie,NOM,f,s,42.58,66.01,108.59
feuille,NOM,f,p,16.86,91.69,108.55
geste,NOM,,p,9.36,99.05,108.41
système,NOM,m,s,66.12,42.23,108.35
rêve,NOM,m,p,59.35,48.38,107.73
seconde,NOM,f,p,52.2,55.27,107.47
bête,NOM,f,s,43.85,63.18,107.03
moment,NOM,m,p,30.34,76.62,106.96
siècle,NOM,m,s,27.29,79.05,106.34
déjeuner,NOM,m,s,50.32,56.01,106.33
chien,NOM,m,p,50.76,54.53,105.29
couloir,NOM,m,s,24.77,80.47,105.24
raison,NOM,f,p,43.67,61.28,104.95
couleur,NOM,f,p,24.79,80.07,104.86
théâtre,NOM,m,s,40.51,64.32,104.83
côté,NOM,m,p,35.48,69.05,104.53
veille,NOM,f,s,16.84,87.36,104.2
seul,NOM,m,s,60.76,43.38,104.14
machine,NOM,f,s,44.94,58.99,103.93
bière,NOM,f,s,68.55,35.34,103.89
château,NOM,m,s,40.51,63.38,103.89
clé,NOM,f,s,68.73,35.0,103.73
expérience,NOM,f,s,55.52,48.11,103.63
œuvre,NOM,,s,35.24,68.11,103.35
midi,NOM,m,,35.15,68.11,103.26
voiture,NOM,f,p,40.53,61.96,102.49
décision,NOM,f,s,54.63,47.77,102.4
i,NOM,,s,71.21,31.15,102.36
phrase,NOM,f,s,15.4,86.76,102.16
moyen,NOM,m,s,53.27,48.72,101.99
commandant,NOM,m,s,54.31,47.64,101.95
maladie,NOM,f,s,52.18,49.59,101.77
pute,NOM,f,s,87.91,13.65,101.56
folie,NOM,f,s,49.01,52.43,101.44
fenêtre,NOM,f,p,20.35,80.81,101.16
horreur,NOM,f,s,39.79,61.35,101.14
somme,NOM,,s,28.27,72.7,100.97
cesse,NOM,f,s,28.86,71.96,100.82
croix,NOM,f,,29.1,71.62,100.72
politique,NOM,,s,34.84,65.88,100.72
froid,NOM,m,s,28.73,71.96,100.69
taxi,NOM,m,s,59.42,41.22,100.64
voie,NOM,f,s,47.01,53.58,100.59
sort,NOM,m,s,42.92,57.5,100.42
image,NOM,f,p,30.79,69.53,100.32
figure,NOM,f,s,22.49,77.7,100.19
chasse,NOM,f,s,46.8,53.38,100.18
amitié,NOM,f,s,32.39,67.7,100.09
soin,NOM,m,s,54.45,45.41,99.86
paquet,NOM,m,s,36.9,62.77,99.67
lunette,NOM,f,p,31.61,67.84,99.45
passion,NOM,f,s,30.71,68.72,99.43
carte,NOM,f,p,48.84,50.47,99.31
ministre,NOM,,s,38.1,61.01,99.11
oiseau,NOM,m,p,33.96,65.07,99.03
soldat,NOM,m,s,52.78,46.22,99.0
morceau,NOM,m,s,40.65,57.84,98.49
flic,NOM,m,s,67.53,30.95,98.48
magasin,NOM,m,s,51.97,45.61,97.58
toit,NOM,m,s,42.63,54.59,97.22
justice,NOM,,s,50.96,46.22,97.18
bonne,NOM,f,s,53.18,43.99,97.17
pierre,NOM,f,p,26.6,70.47,97.07
gosse,NOM,,s,62.92,34.12,97.04
sexe,NOM,m,s,50.44,46.49,96.93
banque,NOM,f,s,70.79,25.54,96.33
défense,NOM,f,s,48.56,47.77,96.33
jambe,NOM,f,s,46.31,49.93,96.24
poussière,NOM,f,s,22.77,73.38,96.15
rouge,NOM,,s,32.93,62.77,95.7
tableau,NOM,m,s,37.8,57.84,95.64
couteau,NOM,m,s,51.08,44.26,95.34
copain,NOM,m,s,61.14,34.05,95.19
manteau,NOM,m,s,36.16,58.99,95.15
victime,NOM,f,s,66.47,28.45,94.92
nuit,NOM,f,p,28.98,65.88,94.86
balle,NOM,f,p,44.75,49.86,94.61
franc,NOM,m,p,16.43,78.11,94.54
demande,NOM,f,s,59.26,35.27,94.53
absence,NOM,f,s,22.02,72.5,94.52
mec,NOM,m,p,72.61,21.89,94.5
port,NOM,m,s,29.4,64.86,94.26
meurtre,NOM,m,s,81.94,12.3,94.24
