lemme,cgram,genre,nombre,freqfilms2,freqlivres,overall_freq
précis,ADJ,m,,20.18,38.24,29.21
responsable,ADJ,,s,40.66,17.43,29.045
naturel,ADJ,m,s,19.01,38.65,28.83
enceinte,ADJ,f,s,46.41,11.08,28.745
vivant,ADJ,f,s,28.12,29.32,28.72
court,ADJ,m,s,17.42,39.86,28.64
ancien,ADJ,f,s,19.82,37.09,28.455
américain,ADJ,m,s,30.93,25.95,28.44
fait,ADJ,m,s,29.5,27.3,28.4
gris,ADJ,f,s,7.25,49.39,28.32
frais,ADJ,f,s,13.59,42.91,28.25
vide,ADJ,,p,11.8,44.66,28.23
parfait,ADJ,m,s,35.58,20.68,28.13
vain,ADJ,m,s,16.02,40.14,28.08
incapable,ADJ,,s,17.38,38.72,28.05
sage,ADJ,,s,31.93,23.45,27.69
national,ADJ,m,s,12.23,42.7,27.465
vrai,ADJ,m,p,31.01,23.85,27.43
ancien,ADJ,m,p,14.72,39.86,27.29
soudain,ADJ,m,s,9.77,44.8,27.285
britannique,ADJ,,s,6.57,47.97,27.27
plein,ADJ,m,p,13.46,40.95,27.205
nerveux,ADJ,m,,32.52,21.82,27.17
sale,ADJ,,p,26.73,27.16,26.945
important,ADJ,f,s,35.29,18.31,26.8
maigre,ADJ,,s,11.1,41.82,26.46
nouvel,ADJ,m,s,30.59,22.23,26.41
vert,ADJ,f,s,14.24,38.45,26.345
lourd,ADJ,m,s,10.15,42.5,26.325
mignon,ADJ,m,s,46.14,6.49,26.315
sensible,ADJ,,s,21.11,30.88,25.995
intelligent,ADJ,m,s,31.92,19.32,25.62
sauvage,ADJ,,s,16.67,34.46,25.565
silencieux,ADJ,m,,8.3,42.64,25.47
vif,ADJ,m,s,9.27,41.62,25.445
célèbre,ADJ,,s,25.98,24.73,25.355
extrême,ADJ,,s,9.07,41.62,25.345
meilleur,ADJ,m,p,32.64,17.23,24.935
profond,ADJ,f,s,11.71,37.97,24.84
sacré,ADJ,m,s,29.19,20.47,24.83
digne,ADJ,,s,21.96,27.3,24.63
invisible,ADJ,,s,12.85,36.35,24.6
faux,ADJ,f,s,21.98,27.09,24.535
évident,ADJ,m,s,28.75,20.14,24.445
solide,ADJ,,s,17.31,31.49,24.4
fragile,ADJ,,s,12.94,35.68,24.31
exprès,ADJ,m,,23.68,24.8,24.24
énorme,ADJ,,p,9.55,38.78,24.165
avant,ADJ,,,23.8,24.46,24.13
